PONumber,Date Submitted,ASN Done,ASN Date Submitted,Order Date

Date Submitted,ASN Done?,ASN Date Submitted,Order Date
5/3/2021 12:50:56 PM,Yes,05/05/2021 05:29:16 PM,2021-05-03
8925374788,5/3/2021 12:44:58 PM,Yes,05/05/2021 05:32:02 PM,2021-05-03
5669217128,5/3/2021 12:44:57 PM,Yes,05/05/2021 05:33:52 PM,2021-05-03
8326303761,5/3/2021 12:44:56 PM,Yes,05/05/2021 05:36:58 PM,2021-05-03
7971633449,5/3/2021 12:44:55 PM,Yes,05/05/2021 05:38:52 PM,2021-05-03
5924206506,5/3/2021 12:44:54 PM,Yes,05/05/2021 05:42:36 PM,2021-05-03
2769606330,5/3/2021 12:41:50 PM,Yes,05/05/2021 05:51:33 PM,2021-05-03
6168959105,5/3/2021 12:41:49 PM,Yes,05/05/2021 05:55:35 PM,2021-05-03
7418889215,5/3/2021 12:41:48 PM,Yes,05/05/2021 05:59:50 PM,2021-05-03
2421543933,5/3/2021 12:41:47 PM,Yes,05/05/2021 06:02:41 PM,2021-05-03
3769626222,5/3/2021 12:41:46 PM,Yes,05/05/2021 06:04:57 PM,2021-05-03
5871433460,4/26/2021 1:16:37 PM, , ,2021-04-26
5871433295,4/26/2021 1:12:12 PM, , ,2021-04-26
8326303586,4/26/2021 1:12:11 PM, , ,2021-04-26
5669216926,4/26/2021 1:12:10 PM,Yes,04/28/2021 06:15:34 PM,2021-04-26
7719197180,4/26/2021 1:12:08 PM, , ,2021-04-26
9824944945,4/26/2021 1:12:07 PM, , ,2021-04-26
7971633284,4/26/2021 1:12:06 PM,Yes,04/28/2021 06:08:01 PM,2021-04-26
9669865798,4/26/2021 1:12:05 PM, , ,2021-04-26
4223848088,4/26/2021 1:12:04 PM, , ,2021-04-26
6168958876,4/26/2021 1:12:03 PM,Yes,04/28/2021 06:09:08 PM,2021-04-26
6270095235,4/26/2021 1:12:01 PM, , ,2021-04-26
5924206314,4/26/2021 1:12:00 PM,Yes,04/28/2021 06:14:14 PM,2021-04-26
2469246176,4/26/2021 1:11:59 PM,Yes,04/28/2021 06:20:10 PM,2021-04-26
8570154753,4/26/2021 1:11:58 PM, , ,2021-04-26
2769606119,4/26/2021 1:11:57 PM, , ,2021-04-26
8925374589,4/26/2021 1:11:56 PM, , ,2021-04-26
5869865630,4/26/2021 1:11:55 PM,Yes,04/28/2021 06:22:30 PM,2021-04-26
7870154586,4/26/2021 1:11:54 PM, , ,2021-04-26
6723818597,4/26/2021 1:11:53 PM, , ,2021-04-26
3770075623,4/26/2021 1:11:52 PM, , ,2021-04-26
6970474910,4/26/2021 1:11:51 PM, , ,2021-04-26
7418888998,4/26/2021 1:11:49 PM,Yes,04/28/2021 06:23:34 PM,2021-04-26
9824566062,4/26/2021 1:11:48 PM,Yes,04/28/2021 06:25:41 PM,2021-04-26
3919655922,4/26/2021 1:11:47 PM, , ,2021-04-26
1420774486,4/26/2021 1:11:46 PM, , ,2021-04-26
9823639177,4/26/2021 1:11:45 PM, , ,2021-04-26
8268938150,4/26/2021 1:11:44 PM,Yes,04/28/2021 06:28:05 PM,2021-04-26
6820664676,4/26/2021 1:11:43 PM,Yes,04/28/2021 06:29:25 PM,2021-04-26
7369056877,4/26/2021 1:11:42 PM,Yes,04/28/2021 06:31:53 PM,2021-04-26
6470904348,4/26/2021 1:11:40 PM, , ,2021-04-26
2369236759,4/26/2021 1:11:39 PM, , ,2021-04-26
6970094698,4/26/2021 1:11:38 PM, , ,2021-04-26
